ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,
1,12,16,25,1,8,16,1,1,1,1,1,1,1,1,1,1,2,3,2,4,3,3,3,4,4,2,2,4,2,1,1,1,3,4,3,3,4,4,2,5,1,1,1,2,1,3,6,5,3,1,8,1,
2,12,20,16,16,12,20,3,3,3,3,4,4,4,4,4,5,5,5,2,1,2,4,4,3,4,1,3,4,1,2,2,1,4,3,2,4,3,5,2,5,2,2,1,1,0,1,6,.,5,1,6,1,
3,16,9,12,20,20,10,5,4,3,3,2,1,1,1,1,1,1,1,3,2,2,4,4,2,4,2,3,4,2,1,2,2,2,4,4,3,4,2,2,5,2,1,1,2,0,2,4,1,5,2,3,1,
4,9,16,9,16,12,15,1,2,2,3,4,4,5,5,5,5,5,5,5,2,1,5,5,5,3,2,4,5,2,2,2,1,5,4,4,2,4,4,1,5,1,1,1,3,1,3,6,5,4,1,6,1,
5,15,20,3,1,3,20,1,1,2,2,3,3,3,4,4,4,4,5,4,4,4,5,4,1,3,4,4,4,2,2,2,3,4,4,1,2,3,2,4,5,2,1,1,2,0,4,3,1,5,4,8,1,
6,10,15,15,20,12,25,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,4,4,2,5,1,4,1,1,4,2,1,4,2,2,2,2,5,4,4,1,1,1,2,2,2,2,2,5,2,5,1,
7,9,9,16,1,16,8,5,5,5,5,5,4,4,4,4,4,2,1,5,2,2,4,5,4,5,2,4,4,2,3,2,4,4,4,4,4,3,2,2,6,1,1,1,2,0,2,6,4,5,1,5,1,
8,12,12,4,20,16,16,4,4,4,4,5,5,5,5,5,5,5,5,4,2,2,4,4,2,4,2,4,4,2,4,2,2,4,3,2,4,2,1,2,6,1,1,1,3,0,3,5,6,5,2,5,1,
9,20,9,12,10,15,15,1,1,2,2,2,3,3,5,5,5,5,5,4,3,3,4,3,5,5,1,2,4,2,2,4,2,2,2,4,3,4,5,7,4,1,1,1,3,0,3,2,2,4,1,.,1,
10,12,12,12,4,25,9,5,4,3,3,2,2,3,3,4,5,5,5,3,2,2,4,4,4,3,2,3,4,3,2,2,3,3,3,4,2,3,3,2,6,1,1,1,2,0,1,4,4,5,.,2,1,
11,20,20,9,20,25,.,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,4,5,1,5,5,2,2,2,2,2,4,4,2,4,4,3,5,1,1,1,3,1,3,6,6,4,2,8,1,
12,15,20,12,10,6,20,1,1,1,1,1,2,2,2,3,3,4,4,5,2,2,4,5,2,4,2,2,4,2,4,2,3,4,2,2,3,4,5,2,4,1,1,1,2,1,2,6,6,3,1,8,1,
13,12,12,12,9,12,12,2,2,3,3,3,4,4,4,4,4,5,5,4,2,3,4,4,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,4,3,1,1,1,2,0,2,6,5,3,2,8,1,
14,15,15,12,15,9,25,1,2,2,3,3,4,4,5,5,5,5,5,2,2,2,2,5,3,3,4,3,2,3,4,2,1,2,2,1,3,2,2,1,2,2,2,1,4,0,4,6,.,1,0,1,1,
15,15,9,4,20,12,8,2,2,3,3,4,5,5,5,5,5,5,5,4,1,2,4,5,2,4,2,4,4,3,1,2,2,5,4,2,3,2,4,3,2,2,1,1,2,0,2,6,6,2,1,4,1,
16,12,20,10,4,12,20,2,3,3,4,4,4,4,5,5,5,5,5,5,2,1,4,4,4,5,1,3,4,3,4,4,1,3,2,3,2,3,5,2,4,1,1,1,2,1,2,2,1,4,2,4,2,
17,8,25,25,20,16,25,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,5,1,2,2,1,2,2,2,4,4,4,2,4,5,5,5,1,1,1,1,0,2,2,2,5,.,6,1,
18,15,20,16,16,6,16,1,1,3,3,5,5,5,5,5,5,5,5,5,2,4,4,4,4,4,2,2,4,2,2,2,2,4,4,4,4,4,5,4,5,1,1,1,3,1,3,4,2,5,3,6,1,
